latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.74003,-53.54935,315.07,1.02,1.01,2026-06-04,1217,T,75,6.1NRT,293.86,13.46,D
-8.4922,-51.53233,335.78,1.01,1,2026-06-04,1214,T,89,6.1NRT,296.39,33.84,D
-21.29527,-61.12149,302.74,2.05,1.39,2026-06-04,1217,T,53,6.1NRT,291.14,13.07,D
-10.39176,-49.43793,315.2,1.25,1.11,2026-06-04,1214,T,75,6.1NRT,279.67,18.52,D
-21.33656,-61.03149,308.26,2.02,1.38,2026-06-04,1217,T,67,6.1NRT,291.41,21.6,D
-10.98087,-47.05812,314.84,1.87,1.34,2026-06-04,1214,T,74,6.1NRT,295.74,21.27,D
-26.35127,-53.97676,305.27,1.09,1.04,2026-06-04,1219,T,61,6.1NRT,287.83,9.18,D
-10.59379,-53.472,310.45,1.03,1.01,2026-06-04,1214,T,64,6.1NRT,296.75,5.97,D
-27.10986,-55.32895,321.2,1.02,1.01,2026-06-04,1219,T,81,6.1NRT,282.46,21.93,D
-10.76909,-54.09941,318.17,1.08,1.04,2026-06-04,1214,T,76,6.1NRT,296.55,14.47,D
-27.11123,-55.31893,333.17,1.02,1.01,2026-06-04,1219,T,88,6.1NRT,283.56,36.39,D
-10.85807,-53.74635,317.99,1.05,1.02,2026-06-04,1214,T,65,6.1NRT,298.84,10.49,D
-28.14805,-56.07253,315.35,1,1,2026-06-04,1219,T,76,6.1NRT,289.44,14.72,D
-11.32477,-51.39055,324.96,1.04,1.02,2026-06-04,1214,T,81,6.1NRT,297.52,19.78,D
-30.51253,-52.61715,305.8,1.42,1.18,2026-06-04,1219,T,62,6.1NRT,286.38,13.61,D
-11.32605,-51.38127,308.9,1.04,1.02,2026-06-04,1214,T,59,6.1NRT,295.8,4.91,D
-11.33375,-51.3918,327.84,1.04,1.02,2026-06-04,1214,T,83,6.1NRT,297.16,22.44,D
-10.5729,-57.32605,304.67,1.7,1.28,2026-06-04,1214,T,49,6.1NRT,293.72,8,D
-10.57529,-57.31086,304.94,1.69,1.28,2026-06-04,1214,T,50,6.1NRT,293.78,8.47,D
-11.25884,-53.97123,313.16,1.06,1.03,2026-06-04,1214,T,58,6.1NRT,295.15,8.94,D
-11.26024,-53.96179,311.43,1.05,1.03,2026-06-04,1214,T,36,6.1NRT,295.96,7.28,D
-11.54995,-52.79197,314.66,1,1,2026-06-04,1214,T,60,6.1NRT,298.54,9.13,D
-11.55124,-52.78303,324.16,1,1,2026-06-04,1214,T,81,6.1NRT,297.67,17.77,D
-11.61349,-52.55236,305.21,1,1,2026-06-04,1214,T,46,6.1NRT,295.13,3.82,D
-11.78381,-52.5098,307.35,1,1,2026-06-04,1214,T,53,6.1NRT,296.77,4.76,D
-11.73513,-54.24442,313.75,1.07,1.03,2026-06-04,1214,T,71,6.1NRT,296.31,11.18,D
-11.73656,-54.23486,309.91,1.07,1.03,2026-06-04,1214,T,65,6.1NRT,295.09,7.91,D
-12.33993,-50.00136,310.61,1.22,1.1,2026-06-04,1214,T,45,6.1NRT,299.4,6.7,D
